org_name,connecthub_org_id,connecthub_display_label,match_score,npi_count,input_label,input_states,connecthub_label,connecthub_states,match_status
GRADY MEMORIAL HOSPITAL CORPORATION,6793e05e37747f17b541791c,Grady Health System,100.0,193,grady memorial hospital,"[""GA""]",grady memorial hospital,nan,match
"WELLSTAR MEDICAL GROUP, LLC",66e8204221afba04642bdd6f,WellStar,90.0,89,wellstar medical group,"[""GA""]",wellstar,nan,match
"WELLSTAR MEDICAL GROUP, LLC",66e8204221afba04642bdd6f,WellStar,90.0,89,wellstar medical group,"[""GA""]",wellstar,"[""GA""]",match
AUGUSTA UNIVERSITY,66e8204221afba04642bdd6f,WellStar,95.0,59,augusta university,"[""GA""]",augusta university health,"[""GA""]",match
AUGUSTA UNIVERSITY,66e8204221afba04642bdd6f,WellStar,95.0,59,augusta university,"[""GA""]",augusta university health,nan,match
AUGUSTA UNIVERSITY,66e8204221afba04642bdd6f,WellStar,90.0,59,augusta university,"[""GA""]",augusta university medical center,nan,match
AUGUSTA UNIVERSITY,66e8204221afba04642bdd6f,WellStar,90.0,59,augusta university,"[""GA""]",augusta university medical center,"[""GA""]",match
AUGUSTA UNIVERSITY,66e8204221afba04642bdd6f,WellStar,90.0,59,augusta university,"[""GA""]",augusta university medical center columbia county,"[""GA""]",match
AUGUSTA UNIVERSITY,66e8204221afba04642bdd6f,WellStar,90.0,59,augusta university,"[""GA""]",augusta university medical center columbia county,nan,match
"WELLSTAR MEDICAL GROUP, LLC",66e8204221afba04642bdd6f,WellStar,90.0,50,wellstar medical group,"[""GA""]",wellstar,nan,match
"WELLSTAR MEDICAL GROUP, LLC",66e8204221afba04642bdd6f,WellStar,90.0,50,wellstar medical group,"[""GA""]",wellstar,"[""GA""]",match
ST JUDE CHILDRENS RESEARCH HO,64d3cabde7d9db2b7ebcc435,St. Jude Children's Research Hospital,90.625,46,st jude childrens research ho,"[""TN""]",st jude childrens research hospital,nan,match
ST JUDE CHILDRENS RESEARCH HO,64d3cabde7d9db2b7ebcc435,St. Jude Children's Research Hospital,90.625,46,st jude childrens research ho,"[""TN""]",st jude childrens research hospital,nan,match
ST JUDE CHILDRENS RESEARCH HO,64d3cabde7d9db2b7ebcc435,St. Jude Children's Research Hospital,90.625,46,st jude childrens research ho,"[""TN""]",st jude childrens research hospital,"[""TN""]",match
ST JUDE CHILDRENS RESEARCH HO,64d3cabde7d9db2b7ebcc435,St. Jude Children's Research Hospital,90.625,46,st jude childrens research ho,"[""TN""]",st jude childrens research hospital,"[""TN""]",match
OPTUM CARE SERVICES COMPANY,6452af3461a0f218ad32ff97,Optum,90.0,42,optum care services company,"[""GA"",""TN""]",optum,"[""CO"",""TN""]",match
OPTUM CARE SERVICES COMPANY,6452af3461a0f218ad32ff97,Optum,90.0,42,optum care services company,"[""GA"",""TN""]",optum,nan,match
OPTUM CARE SERVICES COMPANY,6452af3461a0f218ad32ff97,Optum,90.0,42,optum care services company,"[""GA"",""TN""]",optum,"[""FL"",""TN""]",match
OPTUM CARE SERVICES COMPANY,6452af3461a0f218ad32ff97,Optum,90.0,42,optum care services company,"[""GA"",""TN""]",optum,nan,match
OPTUM CARE SERVICES COMPANY,6452af3461a0f218ad32ff97,Optum,90.0,42,optum care services company,"[""GA"",""TN""]",optum,"[""PA"",""TN""]",match
OPTUM CARE SERVICES COMPANY,6452af3461a0f218ad32ff97,Optum,90.0,42,optum care services company,"[""GA"",""TN""]",optum,"[""CA"",""TN""]",match
OPTUM CARE SERVICES COMPANY,6452af3461a0f218ad32ff97,Optum,90.0,42,optum care services company,"[""GA"",""TN""]",optum,"[""CO"",""NM"",""CA"",""FL"",""TN""]",match
OPTUM CARE SERVICES COMPANY,6452af3461a0f218ad32ff97,Optum,90.0,42,optum care services company,"[""GA"",""TN""]",optum,"[""CA"",""TN""]",match
OPTUM CARE SERVICES COMPANY,6452af3461a0f218ad32ff97,Optum,90.0,42,optum care services company,"[""GA"",""TN""]",optum,"[""CO"",""NM"",""CA"",""FL"",""TN""]",match
OPTUM CARE SERVICES COMPANY,6452af3461a0f218ad32ff97,Optum,90.0,42,optum care services company,"[""GA"",""TN""]",optum,"[""PA"",""TN""]",match
OPTUM CARE SERVICES COMPANY,6452af3461a0f218ad32ff97,Optum,90.0,42,optum care services company,"[""GA"",""TN""]",optum,"[""NM"",""TN""]",match
OPTUM CARE SERVICES COMPANY,6452af3461a0f218ad32ff97,Optum,90.0,42,optum care services company,"[""GA"",""TN""]",optum,nan,match
OPTUM CARE SERVICES COMPANY,6452af3461a0f218ad32ff97,Optum,90.0,42,optum care services company,"[""GA"",""TN""]",optum,"[""ID"",""TN""]",match
OPTUM CARE SERVICES COMPANY,6452af3461a0f218ad32ff97,Optum,90.0,42,optum care services company,"[""GA"",""TN""]",optum,"[""CA"",""TN""]",match
OPTUM CARE SERVICES COMPANY,6452af3461a0f218ad32ff97,Optum,90.0,42,optum care services company,"[""GA"",""TN""]",optum,"[""CO"",""TN""]",match
OPTUM CARE SERVICES COMPANY,6452af3461a0f218ad32ff97,Optum,90.0,42,optum care services company,"[""GA"",""TN""]",optum,"[""CO"",""NM"",""CA"",""FL"",""TN""]",match
OPTUM CARE SERVICES COMPANY,6452af3461a0f218ad32ff97,Optum,90.0,42,optum care services company,"[""GA"",""TN""]",optum,"[""TX"",""TN""]",match
OPTUM CARE SERVICES COMPANY,6452af3461a0f218ad32ff97,Optum,90.0,42,optum care services company,"[""GA"",""TN""]",optum,"[""NM"",""TN""]",match
OPTUM CARE SERVICES COMPANY,6452af3461a0f218ad32ff97,Optum,90.0,42,optum care services company,"[""GA"",""TN""]",optum,"[""PA"",""TX"",""NV"",""ID"",""TN""]",match
OPTUM CARE SERVICES COMPANY,6452af3461a0f218ad32ff97,Optum,90.0,42,optum care services company,"[""GA"",""TN""]",optum,"[""PA"",""TX"",""SC"",""ID"",""TN""]",match
OPTUM CARE SERVICES COMPANY,6452af3461a0f218ad32ff97,Optum,90.0,42,optum care services company,"[""GA"",""TN""]",optum,"[""CO"",""TN""]",match
OPTUM CARE SERVICES COMPANY,6452af3461a0f218ad32ff97,Optum,90.0,42,optum care services company,"[""GA"",""TN""]",optum,"[""ID"",""TN""]",match
OPTUM CARE SERVICES COMPANY,6452af3461a0f218ad32ff97,Optum,90.0,42,optum care services company,"[""GA"",""TN""]",optum,"[""PA"",""TX"",""SC"",""ID"",""TN""]",match
OPTUM CARE SERVICES COMPANY,6452af3461a0f218ad32ff97,Optum,90.0,42,optum care services company,"[""GA"",""TN""]",optum,"[""PA"",""TN""]",match
OPTUM CARE SERVICES COMPANY,6452af3461a0f218ad32ff97,Optum,90.0,42,optum care services company,"[""GA"",""TN""]",optum,"[""TX"",""TN""]",match
OPTUM CARE SERVICES COMPANY,6452af3461a0f218ad32ff97,Optum,90.0,42,optum care services company,"[""GA"",""TN""]",optum,"[""PA"",""TX"",""NV"",""ID"",""TN""]",match
OPTUM CARE SERVICES COMPANY,6452af3461a0f218ad32ff97,Optum,90.0,42,optum care services company,"[""GA"",""TN""]",optum,"[""FL"",""TN""]",match
